url,event,date
http://ufcstats.com/fight-details/567a09fd200cfa05,UFC 1: The Beginning,1993-11-12
http://ufcstats.com/fight-details/2d2bbc86e941e05c,UFC 1: The Beginning,1993-11-12
http://ufcstats.com/fight-details/cecdc0da584274b9,UFC 1: The Beginning,1993-11-12
http://ufcstats.com/fight-details/46acd54cc0c905fb,UFC 1: The Beginning,1993-11-12
http://ufcstats.com/fight-details/ac7ca2ec38b96c1a,UFC 1: The Beginning,1993-11-12
http://ufcstats.com/fight-details/ffd16691c4c4aafc,UFC 1: The Beginning,1993-11-12
http://ufcstats.com/fight-details/00b0796724ec1c09,UFC 1: The Beginning,1993-11-12
http://ufcstats.com/fight-details/64139d1d505e46c5,UFC 1: The Beginning,1993-11-12
http://ufcstats.com/fight-details/4acab67848e78327,UFC 2: No Way Out,1994-03-11
http://ufcstats.com/fight-details/4b9ae533ccb3fcdf,UFC 2: No Way Out,1994-03-11
http://ufcstats.com/fight-details/ccee020be2e8d9f6,UFC 2: No Way Out,1994-03-11
http://ufcstats.com/fight-details/d917c8c7461b9831,UFC 2: No Way Out,1994-03-11
http://ufcstats.com/fight-details/3b020d4914b44fc8,UFC 2: No Way Out,1994-03-11
http://ufcstats.com/fight-details/17ee4caf06981b81,UFC 2: No Way Out,1994-03-11
http://ufcstats.com/fight-details/c53325be8ce33b8b,UFC 2: No Way Out,1994-03-11
http://ufcstats.com/fight-details/fcd8e8ec45eb6b9f,UFC 2: No Way Out,1994-03-11
http://ufcstats.com/fight-details/8ea72cf82fac07f6,UFC 2: No Way Out,1994-03-11
http://ufcstats.com/fight-details/b72acedda7ddc006,UFC 2: No Way Out,1994-03-11
http://ufcstats.com/fight-details/c4aa04781989699e,UFC 2: No Way Out,1994-03-11
http://ufcstats.com/fight-details/5655639baecd8f6a,UFC 2: No Way Out,1994-03-11
http://ufcstats.com/fight-details/8fbdde20b712b8da,UFC 2: No Way Out,1994-03-11
http://ufcstats.com/fight-details/aa161c7159741766,UFC 2: No Way Out,1994-03-11
http://ufcstats.com/fight-details/00835554f95fa911,UFC 2: No Way Out,1994-03-11
http://ufcstats.com/fight-details/8887948f0c097cd8,UFC 3: The American Dream,1994-09-09
http://ufcstats.com/fight-details/56315d5ac11594a5,UFC 3: The American Dream,1994-09-09
http://ufcstats.com/fight-details/ca837b002a318766,UFC 3: The American Dream,1994-09-09
http://ufcstats.com/fight-details/f65b000b7e450bcf,UFC 3: The American Dream,1994-09-09
http://ufcstats.com/fight-details/5167a5aec41f8b6d,UFC 3: The American Dream,1994-09-09
http://ufcstats.com/fight-details/323f543eb8abdb36,UFC 3: The American Dream,1994-09-09
http://ufcstats.com/fight-details/a1db4c917777aa79,UFC 4: Revenge of the Warriors,1994-12-16
http://ufcstats.com/fight-details/b80e6a799c95d499,UFC 4: Revenge of the Warriors,1994-12-16
http://ufcstats.com/fight-details/8f8f47a728c3127e,UFC 4: Revenge of the Warriors,1994-12-16
http://ufcstats.com/fight-details/0b71ada6c9209fc9,UFC 4: Revenge of the Warriors,1994-12-16
http://ufcstats.com/fight-details/ccccc0a22b05eac6,UFC 4: Revenge of the Warriors,1994-12-16
http://ufcstats.com/fight-details/7e7d7a488ea21f63,UFC 4: Revenge of the Warriors,1994-12-16
http://ufcstats.com/fight-details/040ecf01338dff9e,UFC 4: Revenge of the Warriors,1994-12-16
http://ufcstats.com/fight-details/9c74c2758a2c7c2e,UFC 4: Revenge of the Warriors,1994-12-16
http://ufcstats.com/fight-details/e65a23b80c869456,UFC 4: Revenge of the Warriors,1994-12-16
http://ufcstats.com/fight-details/f29eec19aa5c1303,UFC 4: Revenge of the Warriors,1994-12-16
http://ufcstats.com/fight-details/802c0e4e228996ac,UFC 5: The Return of the Beast,1995-04-07
http://ufcstats.com/fight-details/fa152ada833de1d4,UFC 5: The Return of the Beast,1995-04-07
http://ufcstats.com/fight-details/fa3b940bd48da7e2,UFC 5: The Return of the Beast,1995-04-07
http://ufcstats.com/fight-details/43c2c904e1574c59,UFC 5: The Return of the Beast,1995-04-07
http://ufcstats.com/fight-details/ebfe035b70080668,UFC 5: The Return of the Beast,1995-04-07
http://ufcstats.com/fight-details/2308e0da38efd4ba,UFC 5: The Return of the Beast,1995-04-07
http://ufcstats.com/fight-details/db4c169722cf1e33,UFC 5: The Return of the Beast,1995-04-07
http://ufcstats.com/fight-details/cbf3fc8730b4ad09,UFC 5: The Return of the Beast,1995-04-07
http://ufcstats.com/fight-details/db8df615610f3632,UFC 5: The Return of the Beast,1995-04-07
http://ufcstats.com/fight-details/6ca94b35719eb300,UFC 5: The Return of the Beast,1995-04-07
http://ufcstats.com/fight-details/b297c3e938e1005e,UFC 6: Clash of the Titans,1995-07-14
http://ufcstats.com/fight-details/8e03db41687d9132,UFC 6: Clash of the Titans,1995-07-14
http://ufcstats.com/fight-details/88945d70ee6c6467,UFC 6: Clash of the Titans,1995-07-14
http://ufcstats.com/fight-details/547295977141cbc2,UFC 6: Clash of the Titans,1995-07-14
http://ufcstats.com/fight-details/e2b32e1683a566af,UFC 6: Clash of the Titans,1995-07-14
http://ufcstats.com/fight-details/5d19fa2df1cb61a2,UFC 6: Clash of the Titans,1995-07-14
http://ufcstats.com/fight-details/43f6b0c40113d0d8,UFC 6: Clash of the Titans,1995-07-14
http://ufcstats.com/fight-details/3c2c7c095c79a506,UFC 6: Clash of the Titans,1995-07-14
http://ufcstats.com/fight-details/d62aec55bc142346,UFC 6: Clash of the Titans,1995-07-14
http://ufcstats.com/fight-details/66c029f49d3c5da6,UFC 6: Clash of the Titans,1995-07-14
http://ufcstats.com/fight-details/4b334c9727eee450,UFC 7: The Brawl in Buffalo,1995-09-08
http://ufcstats.com/fight-details/e4fe950846b51bdf,UFC 7: The Brawl in Buffalo,1995-09-08
http://ufcstats.com/fight-details/e9ce3a28eeb83905,UFC 7: The Brawl in Buffalo,1995-09-08
http://ufcstats.com/fight-details/869d753568a114a6,UFC 7: The Brawl in Buffalo,1995-09-08
http://ufcstats.com/fight-details/fcf632627ce40195,UFC 7: The Brawl in Buffalo,1995-09-08
http://ufcstats.com/fight-details/ef2ccb690dcd943f,UFC 7: The Brawl in Buffalo,1995-09-08
http://ufcstats.com/fight-details/9ebb7bba0b45d517,UFC 7: The Brawl in Buffalo,1995-09-08
http://ufcstats.com/fight-details/62bb4ea8bf86790c,UFC 7: The Brawl in Buffalo,1995-09-08
http://ufcstats.com/fight-details/99d98a2d278bfa1f,UFC 7: The Brawl in Buffalo,1995-09-08
http://ufcstats.com/fight-details/3932f8e9a74f3d11,UFC 7: The Brawl in Buffalo,1995-09-08
http://ufcstats.com/fight-details/e7ca291dd8f5661b,UFC 7: The Brawl in Buffalo,1995-09-08
http://ufcstats.com/fight-details/6449a1a9a69a830c,UFC - Ultimate Ultimate '95,1995-12-16
http://ufcstats.com/fight-details/7ffcc3a72e082ace,UFC - Ultimate Ultimate '95,1995-12-16
http://ufcstats.com/fight-details/6b0430e9c97afec7,UFC - Ultimate Ultimate '95,1995-12-16
http://ufcstats.com/fight-details/8cc976ee1a123fb8,UFC - Ultimate Ultimate '95,1995-12-16
http://ufcstats.com/fight-details/3e39aac3e15d75bd,UFC - Ultimate Ultimate '95,1995-12-16
http://ufcstats.com/fight-details/d45f9dfdb75a640f,UFC - Ultimate Ultimate '95,1995-12-16
http://ufcstats.com/fight-details/0d872527bbb3cd40,UFC - Ultimate Ultimate '95,1995-12-16
http://ufcstats.com/fight-details/717f3c3932279196,UFC - Ultimate Ultimate '95,1995-12-16
http://ufcstats.com/fight-details/524b49a676498c6d,UFC - Ultimate Ultimate '95,1995-12-16
http://ufcstats.com/fight-details/5701dbbbfa4f8313,UFC 8: David vs Goliath,1996-02-16
http://ufcstats.com/fight-details/3cf6583153078f8f,UFC 8: David vs Goliath,1996-02-16
http://ufcstats.com/fight-details/16cb0064575e2b0b,UFC 8: David vs Goliath,1996-02-16
http://ufcstats.com/fight-details/ab7390e549e28893,UFC 8: David vs Goliath,1996-02-16
http://ufcstats.com/fight-details/8312985b75241b06,UFC 8: David vs Goliath,1996-02-16
http://ufcstats.com/fight-details/90bce37a788afeaa,UFC 8: David vs Goliath,1996-02-16
http://ufcstats.com/fight-details/f5156ca4dcd2a0e3,UFC 8: David vs Goliath,1996-02-16
