Name,Wins,Losses,Height,Weight,Reach,Stance,DOB,SLpM,Str. Acc.,SApM,Str. Def.,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,URL
Tom Aaron,5,3,,155.0,,,1978-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/93fe7332d16c6ad9
Danny Abbadi,4,6,71.0,155.0,,Orthodox,1983-07-03,3.29,0.38,4.41,0.57,0.0,0.0,0.77,0.0,http://ufcstats.com/fighter-details/15df64c02b6b0fde
Nariman Abbasov,28,4,68.0,155.0,66.0,Orthodox,1994-02-01,3.0,0.2,5.67,0.46,0.0,0.0,0.66,0.0,http://ufcstats.com/fighter-details/59a9d6dac61c2540
David Abbott,10,15,72.0,265.0,,Switch,,1.35,0.3,3.55,0.38,1.07,0.33,0.66,0.0,http://ufcstats.com/fighter-details/b361180739bed4b0
Hamdy Abdelwahab,5,0,74.0,264.0,72.0,Southpaw,1993-01-22,3.87,0.52,3.13,0.59,3.0,0.75,0.0,0.0,http://ufcstats.com/fighter-details/3329d692aea4dc28
Shamil Abdurakhimov,20,8,75.0,235.0,76.0,Orthodox,1981-09-02,2.41,0.44,3.02,0.55,1.01,0.23,0.45,0.1,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4
Hiroyuki Abe,8,15,66.0,145.0,,Orthodox,,1.71,0.36,3.11,0.63,0.0,0.0,0.33,0.0,http://ufcstats.com/fighter-details/c0ed7b208197e8de
Daichi Abe,6,2,71.0,170.0,71.0,Orthodox,1991-11-27,3.8,0.33,4.49,0.56,0.33,0.5,0.0,0.0,http://ufcstats.com/fighter-details/5140122c3eecd307
Papy Abedi,10,4,71.0,185.0,,Southpaw,1978-06-30,2.8,0.55,3.15,0.48,3.47,0.57,0.5,1.3,http://ufcstats.com/fighter-details/c9f6385af6df66d7
Ricardo Abreu,5,1,71.0,185.0,,Orthodox,1984-04-27,3.79,0.31,3.98,0.68,2.13,0.42,1.0,0.7,http://ufcstats.com/fighter-details/aa6e591c2a2cdecd
Klidson Abreu,15,4,72.0,205.0,74.0,Orthodox,1992-12-24,2.05,0.4,2.9,0.55,0.64,0.2,0.8,0.0,http://ufcstats.com/fighter-details/7279654c7674cd24
Daniel Acacio,30,18,68.0,180.0,,Orthodox,1977-12-27,3.52,0.36,2.85,0.62,0.33,0.2,0.81,0.0,http://ufcstats.com/fighter-details/1c5879330d42255f
John Adajar,6,2,69.0,170.0,75.0,Orthodox,1991-06-22,3.9,0.52,6.28,0.44,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/989b85f6540c86b1
Scott Adams,8,1,72.0,225.0,,Southpaw,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/2620f3eb21c79614
Juan Adams,5,3,77.0,265.0,80.0,Orthodox,1992-01-16,7.09,0.55,4.06,0.34,0.91,0.66,0.57,0.0,http://ufcstats.com/fighter-details/83b00f7597e5ac83
Anthony Adams,8,2,73.0,185.0,76.0,Orthodox,1988-01-13,3.17,0.41,5.93,0.44,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/a77633a989013265
Zarrukh Adashev,4,4,65.0,125.0,65.0,Southpaw,1992-07-29,3.65,0.4,3.04,0.64,0.0,0.0,1.0,0.5,http://ufcstats.com/fighter-details/79cb2a690b9ba5e8
Israel Adesanya,23,2,76.0,185.0,80.0,Switch,1989-07-22,3.93,0.5,2.8,0.58,0.06,0.14,0.77,0.2,http://ufcstats.com/fighter-details/1338e2c7480bdf9e
Sam Adkins,7,20,75.0,225.0,,Orthodox,1965-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/0e9869d712e81f8f
Nick Agallar,24,6,68.0,155.0,,Orthodox,1979-01-13,0.69,0.11,4.56,0.42,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/ebc5af72ad5a28cb
Mariya Agapova,10,4,66.0,125.0,68.0,Southpaw,1997-04-07,4.67,0.55,3.82,0.52,0.59,0.66,0.47,0.9,http://ufcstats.com/fighter-details/a08ddd04eaffd81d
Marcelo Aguiar,2,3,70.0,170.0,,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/44aa652b181bcf68
Fabio Aguiar,17,1,72.0,185.0,,,1988-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/501821d7fb7b95c1
Edwin Aguilar,26,19,70.0,185.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/6cadc0a0ba7dc015
Jessica Aguilar,20,8,63.0,115.0,63.0,Orthodox,1982-05-08,4.93,0.5,7.19,0.53,0.94,0.25,0.5,0.2,http://ufcstats.com/fighter-details/8f382b3baa954d2a
